G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
44,2025-01-19,6:00p,Denver Nuggets,100.0,113.0,23,21,L 3,18846,2:13,,L,Orlando Magic,ORL,2025-03-11
45,2025-01-21,7:30p,Toronto Raptors,93.0,109.0,23,22,L 4,18284,2:13,,L,Orlando Magic,ORL,2025-03-11
46,2025-01-23,7:00p,Portland Trail Blazers,79.0,101.0,23,23,L 5,19422,2:13,,L,Orlando Magic,ORL,2025-03-11
47,2025-01-25,7:00p,Detroit Pistons,121.0,113.0,24,23,W 1,19489,2:45,,W,Orlando Magic,ORL,2025-03-11
48,2025-01-27,7:30p,Miami Heat,119.0,125.0,24,24,L 1,19600,2:41,,L,Orlando Magic,ORL,2025-03-11
49,2025-01-30,10:00p,Portland Trail Blazers,90.0,119.0,24,25,L 2,16217,2:19,,L,Orlando Magic,ORL,2025-03-11
50,2025-02-01,5:00p,Utah Jazz,99.0,113.0,24,26,L 3,18175,2:16,,L,Orlando Magic,ORL,2025-03-11
51,2025-02-03,10:00p,Golden State Warriors,99.0,104.0,24,27,L 4,18064,2:19,,L,Orlando Magic,ORL,2025-03-11
52,2025-02-05,10:00p,Sacramento Kings,130.0,111.0,25,27,W 1,18074,2:13,,W,Orlando Magic,ORL,2025-03-11
53,2025-02-06,9:00p,Denver Nuggets,90.0,112.0,25,28,L 1,19616,2:09,,L,Orlando Magic,ORL,2025-03-11
54,2025-02-08,7:00p,San Antonio Spurs,112.0,111.0,26,28,W 1,19354,2:11,,W,Orlando Magic,ORL,2025-03-11
55,2025-02-10,7:00p,Atlanta Hawks,106.0,112.0,26,29,L 1,18055,2:21,,L,Orlando Magic,ORL,2025-03-11
56,2025-02-12,7:00p,Charlotte Hornets,102.0,86.0,27,29,W 1,18947,2:04,,W,Orlando Magic,ORL,2025-03-11
57,2025-02-20,7:30p,Atlanta Hawks,114.0,108.0,28,29,W 2,16436,2:28,,W,Orlando Magic,ORL,2025-03-11
58,2025-02-21,7:00p,Memphis Grizzlies,104.0,105.0,28,30,L 1,18945,2:26,,L,Orlando Magic,ORL,2025-03-11
59,2025-02-23,6:00p,Washington Wizards,110.0,90.0,29,30,W 1,18712,2:20,,W,Orlando Magic,ORL,2025-03-11
60,2025-02-25,7:30p,Cleveland Cavaliers,82.0,122.0,29,31,L 1,18846,2:07,,L,Orlando Magic,ORL,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Orlando Magic,ORL,2025-03-11
61,2025-02-27,7:00p,Golden State Warriors,115.0,121.0,29,32,L 2,18846,2:22,,L,Orlando Magic,ORL,2025-03-11
62,2025-03-02,6:00p,Toronto Raptors,102.0,104.0,29,33,L 3,19015,2:38,,L,Orlando Magic,ORL,2025-03-11
63,2025-03-04,7:00p,Toronto Raptors,113.0,114.0,29,34,L 4,17406,2:42,,L,Orlando Magic,ORL,2025-03-11
64,2025-03-06,7:00p,Chicago Bulls,123.0,125.0,29,35,L 5,17717,2:37,,L,Orlando Magic,ORL,2025-03-11
65,2025-03-08,8:00p,Milwaukee Bucks,111.0,109.0,30,35,W 1,17815,2:27,,W,Orlando Magic,ORL,2025-03-11
66,2025-03-10,8:00p,Houston Rockets,84.0,97.0,30,36,L 1,16665,2:14,,L,Orlando Magic,ORL,2025-03-11
67,2025-03-13,8:00p,New Orleans Pelicans,,,,,,,,,,Orlando Magic,ORL,2025-03-11
68,2025-03-14,8:00p,Minnesota Timberwolves,,,,,,,,,,Orlando Magic,ORL,2025-03-11
69,2025-03-16,1:00p,Cleveland Cavaliers,,,,,,,,,,Orlando Magic,ORL,2025-03-11
70,2025-03-19,7:00p,Houston Rockets,,,,,,,,,,Orlando Magic,ORL,2025-03-11
71,2025-03-21,7:00p,Washington Wizards,,,,,,,,,,Orlando Magic,ORL,2025-03-11
72,2025-03-24,7:00p,Los Angeles Lakers,,,,,,,,,,Orlando Magic,ORL,2025-03-11
73,2025-03-25,7:00p,Charlotte Hornets,,,,,,,,,,Orlando Magic,ORL,2025-03-11
74,2025-03-27,7:00p,Dallas Mavericks,,,,,,,,,,Orlando Magic,ORL,2025-03-11
75,2025-03-29,5:00p,Sacramento Kings,,,,,,,,,,Orlando Magic,ORL,2025-03-11
76,2025-03-31,7:00p,Los Angeles Clippers,,,,,,,,,,Orlando Magic,ORL,2025-03-11
77,2025-04-01,8:00p,San Antonio Spurs,,,,,,,,,,Orlando Magic,ORL,2025-03-11
78,2025-04-03,7:00p,Washington Wizards,,,,,,,,,,Orlando Magic,ORL,2025-03-11
79,2025-04-08,7:00p,Atlanta Hawks,,,,,,,,,,Orlando Magic,ORL,2025-03-11
80,2025-04-09,7:00p,Boston Celtics,,,,,,,,,,Orlando Magic,ORL,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Orlando Magic,ORL,2025-03-11
81,2025-04-11,7:00p,Indiana Pacers,,,,,,,,,,Orlando Magic,ORL,2025-03-11
82,2025-04-13,1:00p,Atlanta Hawks,,,,,,,,,,Orlando Magic,ORL,2025-03-11
