G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
77,2025-04-03,7:30p,Portland Trail Blazers,,,,,,,,,,Toronto Raptors,TOR,2025-03-11,,True,1.0
78,2025-04-04,7:30p,Detroit Pistons,,,,,,,,,,Toronto Raptors,TOR,2025-03-11,@,False,0.0
79,2025-04-06,3:30p,Brooklyn Nets,,,,,,,,,,Toronto Raptors,TOR,2025-03-11,@,False,0.0
80,2025-04-09,7:30p,Charlotte Hornets,,,,,,,,,,Toronto Raptors,TOR,2025-03-11,,True,1.0
81,2025-04-11,8:30p,Dallas Mavericks,,,,,,,,,,Toronto Raptors,TOR,2025-03-11,,True,1.0
82,2025-04-13,3:30p,San Antonio Spurs,,,,,,,,,,Toronto Raptors,TOR,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Toronto Raptors,TOR,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Toronto Raptors,TOR,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Toronto Raptors,TOR,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Toronto Raptors,TOR,2025-03-11,,True,1.0
