G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
42,2025-01-17,9:30p,San Antonio Spurs,140.0,112.0,27,15,W 2,18354,2:19,,W,Memphis Grizzlies,MEM,2025-03-11
43,2025-01-20,2:30p,Minnesota Timberwolves,108.0,106.0,28,15,W 3,17794,2:30,,W,Memphis Grizzlies,MEM,2025-03-11
44,2025-01-22,8:00p,Charlotte Hornets,132.0,120.0,29,15,W 4,15971,2:14,,W,Memphis Grizzlies,MEM,2025-03-11
45,2025-01-24,8:00p,New Orleans Pelicans,139.0,126.0,30,15,W 5,16495,2:06,,W,Memphis Grizzlies,MEM,2025-03-11
46,2025-01-25,8:00p,Utah Jazz,125.0,103.0,31,15,W 6,17011,2:20,,W,Memphis Grizzlies,MEM,2025-03-11
47,2025-01-27,7:30p,New York Knicks,106.0,143.0,31,16,L 1,19812,2:04,,L,Memphis Grizzlies,MEM,2025-03-11
48,2025-01-30,9:30p,Houston Rockets,120.0,119.0,32,16,W 1,16257,2:29,,W,Memphis Grizzlies,MEM,2025-03-11
49,2025-02-02,8:30p,Milwaukee Bucks,132.0,119.0,33,16,W 2,17341,2:18,,W,Memphis Grizzlies,MEM,2025-03-11
50,2025-02-03,8:00p,San Antonio Spurs,128.0,109.0,34,16,W 3,16575,2:48,,W,Memphis Grizzlies,MEM,2025-03-11
51,2025-02-05,7:30p,Toronto Raptors,138.0,107.0,35,16,W 4,18337,2:13,,W,Memphis Grizzlies,MEM,2025-03-11
52,2025-02-08,8:00p,Oklahoma City Thunder,112.0,125.0,35,17,L 1,17794,2:20,,L,Memphis Grizzlies,MEM,2025-03-11
53,2025-02-11,10:00p,Phoenix Suns,119.0,112.0,36,17,W 1,17071,2:30,,W,Memphis Grizzlies,MEM,2025-03-11
54,2025-02-12,10:30p,Los Angeles Clippers,114.0,128.0,36,18,L 1,14997,2:13,,L,Memphis Grizzlies,MEM,2025-03-11
55,2025-02-20,7:00p,Indiana Pacers,113.0,127.0,36,19,L 2,17274,2:13,,L,Memphis Grizzlies,MEM,2025-03-11
56,2025-02-21,7:00p,Orlando Magic,105.0,104.0,37,19,W 1,18945,2:26,,W,Memphis Grizzlies,MEM,2025-03-11
57,2025-02-23,7:00p,Cleveland Cavaliers,123.0,129.0,37,20,L 1,19432,2:41,,L,Memphis Grizzlies,MEM,2025-03-11
58,2025-02-25,8:00p,Phoenix Suns,151.0,148.0,38,20,W 1,16202,2:38,,W,Memphis Grizzlies,MEM,2025-03-11
59,2025-02-28,8:00p,New York Knicks,113.0,114.0,38,21,L 1,17794,2:18,,L,Memphis Grizzlies,MEM,2025-03-11
60,2025-03-01,8:00p,San Antonio Spurs,128.0,130.0,38,22,L 2,16822,2:18,,L,Memphis Grizzlies,MEM,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Memphis Grizzlies,MEM,2025-03-11
61,2025-03-03,8:00p,Atlanta Hawks,130.0,132.0,38,23,L 3,15719,2:13,,L,Memphis Grizzlies,MEM,2025-03-11
