G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
43,2025-01-22,10:00p,Golden State Warriors,123.0,117.0,23,20,W 3,17832,2:22,,W,Sacramento Kings,SAC,2025-03-11
44,2025-01-23,9:00p,Denver Nuggets,123.0,132.0,23,21,L 1,19676,2:12,,L,Sacramento Kings,SAC,2025-03-11
45,2025-01-25,7:30p,New York Knicks,120.0,143.0,23,22,L 2,19812,2:22,,L,Sacramento Kings,SAC,2025-03-11
46,2025-01-27,7:30p,Brooklyn Nets,110.0,96.0,24,22,W 1,16093,2:18,,W,Sacramento Kings,SAC,2025-03-11
47,2025-01-29,7:30p,Philadelphia 76ers,104.0,117.0,24,23,L 1,19770,2:08,,L,Sacramento Kings,SAC,2025-03-11
48,2025-02-01,8:00p,Oklahoma City Thunder,110.0,144.0,24,24,L 2,18203,2:02,,L,Sacramento Kings,SAC,2025-03-11
49,2025-02-03,8:00p,Minnesota Timberwolves,116.0,114.0,25,24,W 1,18978,2:16,,W,Sacramento Kings,SAC,2025-03-11
50,2025-02-05,10:00p,Orlando Magic,111.0,130.0,25,25,L 1,18074,2:13,,L,Sacramento Kings,SAC,2025-03-11
51,2025-02-06,10:00p,Portland Trail Blazers,102.0,108.0,25,26,L 2,16953,2:08,,L,Sacramento Kings,SAC,2025-03-11
52,2025-02-08,10:00p,New Orleans Pelicans,123.0,118.0,26,26,W 1,17832,2:25,,W,Sacramento Kings,SAC,2025-03-11
53,2025-02-10,8:30p,Dallas Mavericks,129.0,128.0,27,26,W 2,19726,2:33,,W,Sacramento Kings,SAC,2025-03-11
54,2025-02-12,8:00p,New Orleans Pelicans,119.0,111.0,28,26,W 3,17444,2:14,,W,Sacramento Kings,SAC,2025-03-11
55,2025-02-13,8:00p,New Orleans Pelicans,133.0,140.0,28,27,L 1,16686,2:39,,L,Sacramento Kings,SAC,2025-03-11
56,2025-02-21,10:00p,Golden State Warriors,108.0,132.0,28,28,L 2,18098,2:08,,L,Sacramento Kings,SAC,2025-03-11
57,2025-02-24,10:00p,Charlotte Hornets,130.0,88.0,29,28,W 1,17832,2:13,,W,Sacramento Kings,SAC,2025-03-11
58,2025-02-26,9:00p,Utah Jazz,118.0,101.0,30,28,W 2,18175,2:03,,W,Sacramento Kings,SAC,2025-03-11
59,2025-03-01,8:00p,Houston Rockets,113.0,103.0,31,28,W 3,18055,2:10,,W,Sacramento Kings,SAC,2025-03-11
60,2025-03-03,8:30p,Dallas Mavericks,122.0,98.0,32,28,W 4,19711,2:05,,W,Sacramento Kings,SAC,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Sacramento Kings,SAC,2025-03-11
61,2025-03-05,9:00p,Denver Nuggets,110.0,116.0,32,29,L 1,19618,2:18,,L,Sacramento Kings,SAC,2025-03-11
62,2025-03-07,10:00p,San Antonio Spurs,127.0,109.0,33,29,W 1,18332,2:12,,W,Sacramento Kings,SAC,2025-03-11
63,2025-03-09,9:30p,Los Angeles Clippers,110.0,111.0,33,30,L 1,17927,2:37,,L,Sacramento Kings,SAC,2025-03-11
64,2025-03-10,10:30p,New York Knicks,104.0,133.0,33,31,L 2,16539,2:22,,L,Sacramento Kings,SAC,2025-03-11
65,2025-03-13,10:00p,Golden State Warriors,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
66,2025-03-14,10:00p,Phoenix Suns,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
67,2025-03-17,10:00p,Memphis Grizzlies,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
68,2025-03-19,10:00p,Cleveland Cavaliers,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
69,2025-03-20,10:00p,Chicago Bulls,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
70,2025-03-22,10:00p,Milwaukee Bucks,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
