G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
43,2025-01-22,7:30p,Detroit Pistons,104.0,114.0,22,21,L 2,13983,2:07,,L,Atlanta Hawks,ATL,2025-03-11
44,2025-01-23,7:30p,Toronto Raptors,119.0,122.0,22,22,L 3,14662,2:15,,L,Atlanta Hawks,ATL,2025-03-11
45,2025-01-25,7:30p,Toronto Raptors,94.0,117.0,22,23,L 4,17868,2:21,,L,Atlanta Hawks,ATL,2025-03-11
46,2025-01-27,8:00p,Minnesota Timberwolves,92.0,100.0,22,24,L 5,18978,2:20,,L,Atlanta Hawks,ATL,2025-03-11
47,2025-01-28,7:30p,Houston Rockets,96.0,100.0,22,25,L 6,15553,2:15,,L,Atlanta Hawks,ATL,2025-03-11
48,2025-01-30,7:00p,Cleveland Cavaliers,115.0,137.0,22,26,L 7,19432,2:11,,L,Atlanta Hawks,ATL,2025-03-11
49,2025-02-01,5:00p,Indiana Pacers,127.0,132.0,22,27,L 8,17274,2:28,,L,Atlanta Hawks,ATL,2025-03-11
50,2025-02-03,7:00p,Detroit Pistons,132.0,130.0,23,27,W 1,15988,2:28,,W,Atlanta Hawks,ATL,2025-03-11
51,2025-02-05,7:00p,San Antonio Spurs,125.0,126.0,23,28,L 1,17191,2:19,,L,Atlanta Hawks,ATL,2025-03-11
52,2025-02-07,7:30p,Milwaukee Bucks,115.0,110.0,24,28,W 1,16378,2:11,,W,Atlanta Hawks,ATL,2025-03-11
53,2025-02-08,7:00p,Washington Wizards,125.0,111.0,25,28,W 2,16835,2:08,,W,Atlanta Hawks,ATL,2025-03-11
54,2025-02-10,7:00p,Orlando Magic,112.0,106.0,26,28,W 3,18055,2:21,,W,Atlanta Hawks,ATL,2025-03-11
55,2025-02-12,7:30p,New York Knicks,148.0,149.0,26,29,L 1,19812,2:54,,L,Atlanta Hawks,ATL,2025-03-11
56,2025-02-20,7:30p,Orlando Magic,108.0,114.0,26,30,L 2,16436,2:28,,L,Atlanta Hawks,ATL,2025-03-11
57,2025-02-23,6:00p,Detroit Pistons,143.0,148.0,26,31,L 3,17051,2:30,,L,Atlanta Hawks,ATL,2025-03-11
58,2025-02-24,7:30p,Miami Heat,98.0,86.0,27,31,W 1,16189,2:14,,W,Atlanta Hawks,ATL,2025-03-11
