G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
40,2025-01-15,9:00p,Houston Rockets,108.0,128.0,24,16,L 1,19837,2:07,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
41,2025-01-17,8:00p,Miami Heat,133.0,113.0,25,16,W 1,19828,2:01,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
42,2025-01-19,6:00p,Orlando Magic,113.0,100.0,26,16,W 2,18846,2:13,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
43,2025-01-21,10:00p,Philadelphia 76ers,144.0,109.0,27,16,W 3,19521,2:12,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
44,2025-01-23,9:00p,Sacramento Kings,132.0,123.0,28,16,W 4,19676,2:12,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
45,2025-01-25,3:00p,Minnesota Timberwolves,104.0,133.0,28,17,L 1,18978,2:10,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
46,2025-01-27,8:00p,Chicago Bulls,121.0,129.0,28,18,L 2,19661,1:59,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
47,2025-01-29,7:30p,New York Knicks,112.0,122.0,28,19,L 3,19812,2:20,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
48,2025-01-31,7:30p,Philadelphia 76ers,137.0,134.0,29,19,W 1,19764,2:19,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
49,2025-02-01,7:00p,Charlotte Hornets,107.0,104.0,30,19,W 2,19106,2:10,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
50,2025-02-03,9:00p,New Orleans Pelicans,125.0,113.0,31,19,W 3,19587,2:09,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
51,2025-02-05,9:00p,New Orleans Pelicans,144.0,119.0,32,19,W 4,19526,2:06,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
52,2025-02-06,9:00p,Orlando Magic,112.0,90.0,33,19,W 5,19616,2:09,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
53,2025-02-08,9:00p,Phoenix Suns,122.0,105.0,34,19,W 6,17071,2:04,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
54,2025-02-10,9:00p,Portland Trail Blazers,146.0,117.0,35,19,W 7,19535,2:10,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
55,2025-02-12,9:00p,Portland Trail Blazers,132.0,121.0,36,19,W 8,19901,2:13,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
56,2025-02-20,9:00p,Charlotte Hornets,129.0,115.0,37,19,W 9,19870,1:58,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
57,2025-02-22,8:30p,Los Angeles Lakers,100.0,123.0,37,20,L 1,19998,2:24,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
58,2025-02-24,7:00p,Indiana Pacers,125.0,116.0,38,20,W 1,16549,2:09,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
59,2025-02-27,8:00p,Milwaukee Bucks,112.0,121.0,38,21,L 1,17566,2:15,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
60,2025-02-28,7:00p,Detroit Pistons,134.0,119.0,39,21,W 1,20062,2:14,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
61,2025-03-02,1:00p,Boston Celtics,103.0,110.0,39,22,L 1,19156,2:18,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
62,2025-03-05,9:00p,Sacramento Kings,116.0,110.0,40,22,W 1,19618,2:18,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
63,2025-03-07,10:00p,Phoenix Suns,149.0,141.0,41,22,W 2,19808,2:34,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
