G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
69,2025-03-18,10:30p,Cleveland Cavaliers,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
70,2025-03-21,10:30p,Memphis Grizzlies,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
71,2025-03-23,9:00p,Oklahoma City Thunder,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
72,2025-03-26,7:30p,New York Knicks,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
73,2025-03-28,7:30p,Brooklyn Nets,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
74,2025-03-30,3:30p,Cleveland Cavaliers,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
75,2025-03-31,7:00p,Orlando Magic,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
76,2025-04-02,10:00p,New Orleans Pelicans,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
77,2025-04-04,10:30p,Dallas Mavericks,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
78,2025-04-05,10:30p,Dallas Mavericks,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
79,2025-04-08,10:30p,San Antonio Spurs,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
80,2025-04-09,10:30p,Houston Rockets,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
81,2025-04-11,10:00p,Sacramento Kings,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
82,2025-04-13,3:30p,Golden State Warriors,,,,,,,,,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
