G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
64,2025-03-11,7:30p,Indiana Pacers,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
65,2025-03-13,7:30p,Los Angeles Lakers,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
66,2025-03-15,8:00p,Indiana Pacers,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
67,2025-03-16,9:00p,Oklahoma City Thunder,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
68,2025-03-18,10:00p,Golden State Warriors,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
69,2025-03-20,10:30p,Los Angeles Lakers,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
70,2025-03-22,10:00p,Sacramento Kings,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
71,2025-03-24,10:00p,Phoenix Suns,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
72,2025-03-26,9:00p,Denver Nuggets,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
73,2025-03-28,8:00p,New York Knicks,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
74,2025-03-30,7:00p,Atlanta Hawks,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
75,2025-04-01,8:00p,Phoenix Suns,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
76,2025-04-03,7:30p,Philadelphia 76ers,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
77,2025-04-05,8:00p,Miami Heat,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
78,2025-04-06,8:30p,New Orleans Pelicans,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,@,False,0.0
79,2025-04-08,8:00p,Minnesota Timberwolves,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
80,2025-04-10,8:00p,New Orleans Pelicans,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
81,2025-04-11,7:00p,Detroit Pistons,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
82,2025-04-13,1:00p,Detroit Pistons,,,,,,,,,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Milwaukee Bucks,MIL,2025-03-11,,True,1.0
