G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
44,2025-01-22,7:30p,Atlanta Hawks,114.0,104.0,23,21,W 2,13983,2:07,,W,Detroit Pistons,DET,2025-03-11
45,2025-01-25,7:00p,Orlando Magic,113.0,121.0,23,22,L 1,19489,2:45,,L,Detroit Pistons,DET,2025-03-11
46,2025-01-27,7:00p,Cleveland Cavaliers,91.0,110.0,23,23,L 2,19432,2:07,,L,Detroit Pistons,DET,2025-03-11
47,2025-01-29,7:00p,Indiana Pacers,119.0,133.0,23,24,L 3,16275,2:23,,L,Detroit Pistons,DET,2025-03-11
48,2025-01-31,7:00p,Dallas Mavericks,117.0,102.0,24,24,W 1,20062,2:06,,W,Detroit Pistons,DET,2025-03-11
49,2025-02-02,3:00p,Chicago Bulls,127.0,119.0,25,24,W 2,20062,2:08,,W,Detroit Pistons,DET,2025-03-11
50,2025-02-03,7:00p,Atlanta Hawks,130.0,132.0,25,25,L 1,15988,2:28,,L,Detroit Pistons,DET,2025-03-11
51,2025-02-05,7:00p,Cleveland Cavaliers,115.0,118.0,25,26,L 2,18734,2:34,,L,Detroit Pistons,DET,2025-03-11
52,2025-02-07,7:30p,Philadelphia 76ers,125.0,112.0,26,26,W 1,19241,2:29,,W,Detroit Pistons,DET,2025-03-11
53,2025-02-09,1:00p,Charlotte Hornets,112.0,102.0,27,26,W 2,18740,2:15,,W,Detroit Pistons,DET,2025-03-11
54,2025-02-11,8:00p,Chicago Bulls,132.0,92.0,28,26,W 3,18321,2:01,,W,Detroit Pistons,DET,2025-03-11
55,2025-02-12,8:00p,Chicago Bulls,128.0,110.0,29,26,W 4,18916,2:20,,W,Detroit Pistons,DET,2025-03-11
56,2025-02-21,8:30p,San Antonio Spurs,125.0,110.0,30,26,W 5,16143,2:11,,W,Detroit Pistons,DET,2025-03-11
57,2025-02-23,6:00p,Atlanta Hawks,148.0,143.0,31,26,W 6,17051,2:30,,W,Detroit Pistons,DET,2025-03-11
58,2025-02-24,7:00p,Los Angeles Clippers,106.0,97.0,32,26,W 7,18989,2:25,,W,Detroit Pistons,DET,2025-03-11
59,2025-02-26,7:00p,Boston Celtics,117.0,97.0,33,26,W 8,20062,2:01,,W,Detroit Pistons,DET,2025-03-11
60,2025-02-28,7:00p,Denver Nuggets,119.0,134.0,33,27,L 1,20062,2:14,,L,Detroit Pistons,DET,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Detroit Pistons,DET,2025-03-11
61,2025-03-01,7:00p,Brooklyn Nets,115.0,94.0,34,27,W 1,20062,2:23,,W,Detroit Pistons,DET,2025-03-11
62,2025-03-03,9:00p,Utah Jazz,134.0,106.0,35,27,W 2,18175,2:19,,W,Detroit Pistons,DET,2025-03-11
63,2025-03-05,10:30p,Los Angeles Clippers,115.0,123.0,35,28,L 1,17927,2:14,,L,Detroit Pistons,DET,2025-03-11
64,2025-03-08,8:30p,Golden State Warriors,110.0,115.0,35,29,L 2,18064,2:44,,L,Detroit Pistons,DET,2025-03-11
65,2025-03-09,9:00p,Portland Trail Blazers,119.0,112.0,36,29,W 1,19661,2:22,,W,Detroit Pistons,DET,2025-03-11
66,2025-03-11,7:00p,Washington Wizards,,,,,,,,,,Detroit Pistons,DET,2025-03-11
67,2025-03-13,7:00p,Washington Wizards,,,,,,,,,,Detroit Pistons,DET,2025-03-11
68,2025-03-15,7:00p,Oklahoma City Thunder,,,,,,,,,,Detroit Pistons,DET,2025-03-11
69,2025-03-17,8:00p,New Orleans Pelicans,,,,,,,,,,Detroit Pistons,DET,2025-03-11
70,2025-03-19,7:30p,Miami Heat,,,,,,,,,,Detroit Pistons,DET,2025-03-11
71,2025-03-21,8:30p,Dallas Mavericks,,,,,,,,,,Detroit Pistons,DET,2025-03-11
72,2025-03-23,3:00p,New Orleans Pelicans,,,,,,,,,,Detroit Pistons,DET,2025-03-11
73,2025-03-25,7:00p,San Antonio Spurs,,,,,,,,,,Detroit Pistons,DET,2025-03-11
74,2025-03-28,7:00p,Cleveland Cavaliers,,,,,,,,,,Detroit Pistons,DET,2025-03-11
75,2025-03-30,7:00p,Minnesota Timberwolves,,,,,,,,,,Detroit Pistons,DET,2025-03-11
76,2025-04-02,8:00p,Oklahoma City Thunder,,,,,,,,,,Detroit Pistons,DET,2025-03-11
77,2025-04-04,7:30p,Toronto Raptors,,,,,,,,,,Detroit Pistons,DET,2025-03-11
78,2025-04-05,7:00p,Memphis Grizzlies,,,,,,,,,,Detroit Pistons,DET,2025-03-11
79,2025-04-07,7:00p,Sacramento Kings,,,,,,,,,,Detroit Pistons,DET,2025-03-11
80,2025-04-10,7:00p,New York Knicks,,,,,,,,,,Detroit Pistons,DET,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Detroit Pistons,DET,2025-03-11
81,2025-04-11,7:00p,Milwaukee Bucks,,,,,,,,,,Detroit Pistons,DET,2025-03-11
82,2025-04-13,1:00p,Milwaukee Bucks,,,,,,,,,,Detroit Pistons,DET,2025-03-11
