G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
53,2025-02-11,7:30p,Indiana Pacers,128.0,115.0,35,18,W 1,16685,2:26,,W,New York Knicks,NYK,2025-03-11,,True,1.0
54,2025-02-12,7:30p,Atlanta Hawks,149.0,148.0,36,18,W 2,19812,2:54,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
55,2025-02-20,7:30p,Chicago Bulls,113.0,111.0,37,18,W 3,19812,2:22,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
56,2025-02-21,7:00p,Cleveland Cavaliers,105.0,142.0,37,19,L 1,19432,2:09,,L,New York Knicks,NYK,2025-03-11,,True,1.0
57,2025-02-23,1:00p,Boston Celtics,105.0,118.0,37,20,L 2,19156,2:06,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
58,2025-02-26,7:00p,Philadelphia 76ers,110.0,105.0,38,20,W 1,19812,2:25,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
59,2025-02-28,8:00p,Memphis Grizzlies,114.0,113.0,39,20,W 2,17794,2:18,,W,New York Knicks,NYK,2025-03-11,,True,1.0
60,2025-03-02,6:00p,Miami Heat,116.0,112.0,40,20,W 3,19725,2:32,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
61,2025-03-04,7:30p,Golden State Warriors,102.0,114.0,40,21,L 1,19812,2:22,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
62,2025-03-06,10:00p,Los Angeles Lakers,109.0,113.0,40,22,L 2,18997,2:52,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
63,2025-03-07,10:30p,Los Angeles Clippers,95.0,105.0,40,23,L 3,17927,2:12,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
64,2025-03-10,10:30p,Sacramento Kings,133.0,104.0,41,23,W 1,16539,2:22,,W,New York Knicks,NYK,2025-03-11,,True,1.0
65,2025-03-12,10:00p,Portland Trail Blazers,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
66,2025-03-15,8:30p,Golden State Warriors,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
67,2025-03-17,7:30p,Miami Heat,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
68,2025-03-19,8:00p,San Antonio Spurs,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
69,2025-03-20,7:00p,Charlotte Hornets,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
70,2025-03-22,8:00p,Washington Wizards,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
71,2025-03-25,7:30p,Dallas Mavericks,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
72,2025-03-26,7:30p,Los Angeles Clippers,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
73,2025-03-28,8:00p,Milwaukee Bucks,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
74,2025-03-30,6:00p,Portland Trail Blazers,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
75,2025-04-01,7:30p,Philadelphia 76ers,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
76,2025-04-02,7:00p,Cleveland Cavaliers,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
77,2025-04-05,3:00p,Atlanta Hawks,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
78,2025-04-06,7:00p,Phoenix Suns,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
79,2025-04-08,7:30p,Boston Celtics,,,,,,,,,,New York Knicks,NYK,2025-03-11,@,False,0.0
80,2025-04-10,7:00p,Detroit Pistons,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
81,2025-04-11,7:30p,Cleveland Cavaliers,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
82,2025-04-13,1:00p,Brooklyn Nets,,,,,,,,,,New York Knicks,NYK,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,New York Knicks,NYK,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,New York Knicks,NYK,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,New York Knicks,NYK,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,New York Knicks,NYK,2025-03-11,,True,1.0
