G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
40,2025-01-18,7:00p,Indiana Pacers,102.0,115.0,15,25,L 5,17274,2:20,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
41,2025-01-19,7:00p,Milwaukee Bucks,109.0,123.0,15,26,L 6,17345,2:09,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
42,2025-01-21,10:00p,Denver Nuggets,109.0,144.0,15,27,L 7,19521,2:12,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
43,2025-01-24,7:00p,Cleveland Cavaliers,132.0,129.0,16,27,W 1,19760,2:25,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
44,2025-01-25,8:00p,Chicago Bulls,109.0,97.0,17,27,W 2,20153,2:07,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
45,2025-01-28,7:30p,Los Angeles Lakers,118.0,104.0,18,27,W 3,19775,2:18,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
46,2025-01-29,7:30p,Sacramento Kings,117.0,104.0,19,27,W 4,19770,2:08,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
47,2025-01-31,7:30p,Denver Nuggets,134.0,137.0,19,28,L 1,19764,2:19,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
48,2025-02-02,6:00p,Boston Celtics,110.0,118.0,19,29,L 2,19766,2:22,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
49,2025-02-04,7:00p,Dallas Mavericks,118.0,116.0,20,29,W 1,19756,2:17,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
50,2025-02-05,7:30p,Miami Heat,101.0,108.0,20,30,L 1,19770,2:18,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
51,2025-02-07,7:30p,Detroit Pistons,112.0,125.0,20,31,L 2,19241,2:29,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
52,2025-02-09,2:00p,Milwaukee Bucks,127.0,135.0,20,32,L 3,17341,2:20,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
53,2025-02-11,7:00p,Toronto Raptors,103.0,106.0,20,33,L 4,19767,2:08,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
54,2025-02-12,7:30p,Brooklyn Nets,96.0,100.0,20,34,L 5,16133,2:16,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
55,2025-02-20,7:00p,Boston Celtics,104.0,124.0,20,35,L 6,19752,2:09,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
56,2025-02-22,7:30p,Brooklyn Nets,103.0,105.0,20,36,L 7,20431,2:14,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
57,2025-02-24,7:00p,Chicago Bulls,110.0,142.0,20,37,L 8,19765,2:20,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
58,2025-02-26,7:00p,New York Knicks,105.0,110.0,20,38,L 9,19812,2:25,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
59,2025-03-01,8:30p,Golden State Warriors,126.0,119.0,21,38,W 1,20159,2:30,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
