G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
44,2025-01-27,9:00p,Milwaukee Bucks,110.0,125.0,10,34,L 6,18175,2:13,,L,Utah Jazz,UTA,2025-03-11
45,2025-01-28,10:00p,Golden State Warriors,103.0,114.0,10,35,L 7,18064,2:19,,L,Utah Jazz,UTA,2025-03-11
46,2025-01-30,9:00p,Minnesota Timberwolves,113.0,138.0,10,36,L 8,18175,2:12,,L,Utah Jazz,UTA,2025-03-11
47,2025-02-01,5:00p,Orlando Magic,113.0,99.0,11,36,W 1,18175,2:16,,W,Utah Jazz,UTA,2025-03-11
48,2025-02-03,9:00p,Indiana Pacers,111.0,112.0,11,37,L 1,18175,2:23,,L,Utah Jazz,UTA,2025-03-11
49,2025-02-05,9:00p,Golden State Warriors,131.0,128.0,12,37,W 1,18175,2:27,,W,Utah Jazz,UTA,2025-03-11
50,2025-02-07,10:00p,Phoenix Suns,127.0,135.0,12,38,L 1,17071,2:24,,L,Utah Jazz,UTA,2025-03-11
51,2025-02-08,10:30p,Los Angeles Clippers,110.0,130.0,12,39,L 2,15892,2:09,,L,Utah Jazz,UTA,2025-03-11
52,2025-02-10,10:30p,Los Angeles Lakers,113.0,132.0,12,40,L 3,18997,2:14,,L,Utah Jazz,UTA,2025-03-11
53,2025-02-12,9:00p,Los Angeles Lakers,131.0,119.0,13,40,W 1,18175,2:11,,W,Utah Jazz,UTA,2025-03-11
54,2025-02-13,9:00p,Los Angeles Clippers,116.0,120.0,13,41,L 1,18175,2:40,,L,Utah Jazz,UTA,2025-03-11
55,2025-02-21,9:30p,Oklahoma City Thunder,107.0,130.0,13,42,L 2,18175,2:03,,L,Utah Jazz,UTA,2025-03-11
56,2025-02-22,9:30p,Houston Rockets,124.0,115.0,14,42,W 1,18175,2:08,,W,Utah Jazz,UTA,2025-03-11
57,2025-02-24,9:00p,Portland Trail Blazers,112.0,114.0,14,43,L 1,18175,2:25,,L,Utah Jazz,UTA,2025-03-11
58,2025-02-26,9:00p,Sacramento Kings,101.0,118.0,14,44,L 2,18175,2:03,,L,Utah Jazz,UTA,2025-03-11
59,2025-02-28,9:30p,Minnesota Timberwolves,117.0,116.0,15,44,W 1,18175,2:02,,W,Utah Jazz,UTA,2025-03-11
60,2025-03-02,8:00p,New Orleans Pelicans,121.0,128.0,15,45,L 1,18175,2:10,,L,Utah Jazz,UTA,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Utah Jazz,UTA,2025-03-11
61,2025-03-03,9:00p,Detroit Pistons,106.0,134.0,15,46,L 2,18175,2:19,,L,Utah Jazz,UTA,2025-03-11
62,2025-03-05,7:00p,Washington Wizards,122.0,125.0,15,47,L 3,14761,2:20,,L,Utah Jazz,UTA,2025-03-11
63,2025-03-07,7:30p,Toronto Raptors,109.0,118.0,15,48,L 4,18258,2:19,,L,Utah Jazz,UTA,2025-03-11
64,2025-03-09,7:30p,Philadelphia 76ers,122.0,126.0,15,49,L 5,19757,2:20,,L,Utah Jazz,UTA,2025-03-11
65,2025-03-10,7:30p,Boston Celtics,108.0,114.0,15,50,L 6,19156,2:07,,L,Utah Jazz,UTA,2025-03-11
66,2025-03-12,8:00p,Memphis Grizzlies,,,,,,,,,,Utah Jazz,UTA,2025-03-11
67,2025-03-14,9:30p,Toronto Raptors,,,,,,,,,,Utah Jazz,UTA,2025-03-11
68,2025-03-16,7:00p,Minnesota Timberwolves,,,,,,,,,,Utah Jazz,UTA,2025-03-11
69,2025-03-17,9:00p,Chicago Bulls,,,,,,,,,,Utah Jazz,UTA,2025-03-11
70,2025-03-19,9:00p,Washington Wizards,,,,,,,,,,Utah Jazz,UTA,2025-03-11
71,2025-03-21,9:30p,Boston Celtics,,,,,,,,,,Utah Jazz,UTA,2025-03-11
72,2025-03-23,3:30p,Cleveland Cavaliers,,,,,,,,,,Utah Jazz,UTA,2025-03-11
73,2025-03-25,9:00p,Memphis Grizzlies,,,,,,,,,,Utah Jazz,UTA,2025-03-11
74,2025-03-27,9:00p,Houston Rockets,,,,,,,,,,Utah Jazz,UTA,2025-03-11
75,2025-03-28,9:00p,Denver Nuggets,,,,,,,,,,Utah Jazz,UTA,2025-03-11
76,2025-03-31,7:00p,Charlotte Hornets,,,,,,,,,,Utah Jazz,UTA,2025-03-11
77,2025-04-02,8:00p,Houston Rockets,,,,,,,,,,Utah Jazz,UTA,2025-03-11
78,2025-04-04,7:00p,Indiana Pacers,,,,,,,,,,Utah Jazz,UTA,2025-03-11
79,2025-04-06,6:00p,Atlanta Hawks,,,,,,,,,,Utah Jazz,UTA,2025-03-11
80,2025-04-09,9:00p,Portland Trail Blazers,,,,,,,,,,Utah Jazz,UTA,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Utah Jazz,UTA,2025-03-11
81,2025-04-11,9:30p,Oklahoma City Thunder,,,,,,,,,,Utah Jazz,UTA,2025-03-11
82,2025-04-13,3:30p,Minnesota Timberwolves,,,,,,,,,,Utah Jazz,UTA,2025-03-11
