G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
60,2025-03-04,8:30p,Brooklyn Nets,127.0,113.0,26,34,W 1,16703,2:05,,W,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
61,2025-03-07,10:00p,Sacramento Kings,109.0,127.0,26,35,L 1,18332,2:12,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
62,2025-03-09,8:00p,Minnesota Timberwolves,124.0,141.0,26,36,L 2,17875,2:07,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
63,2025-03-10,8:30p,Dallas Mavericks,129.0,133.0,26,37,L 3,17735,2:16,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
64,2025-03-12,8:00p,Dallas Mavericks,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
65,2025-03-14,8:00p,Charlotte Hornets,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
66,2025-03-15,8:30p,New Orleans Pelicans,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
67,2025-03-17,10:30p,Los Angeles Lakers,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
68,2025-03-19,8:00p,New York Knicks,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
69,2025-03-21,8:00p,Philadelphia 76ers,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
70,2025-03-23,6:00p,Toronto Raptors,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
71,2025-03-25,7:00p,Detroit Pistons,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
72,2025-03-27,7:00p,Cleveland Cavaliers,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
73,2025-03-29,8:00p,Boston Celtics,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
74,2025-03-30,7:00p,Golden State Warriors,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
75,2025-04-01,8:00p,Orlando Magic,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
76,2025-04-02,9:00p,Denver Nuggets,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
77,2025-04-04,8:00p,Cleveland Cavaliers,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
78,2025-04-06,6:00p,Portland Trail Blazers,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
79,2025-04-08,10:30p,Los Angeles Clippers,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
80,2025-04-09,10:00p,Golden State Warriors,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
81,2025-04-11,10:00p,Phoenix Suns,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
82,2025-04-13,3:30p,Toronto Raptors,,,,,,,,,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,San Antonio Spurs,SAS,2025-03-11,,True,1.0
