G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
71,2025-03-21,10:00p,Cleveland Cavaliers,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
72,2025-03-24,10:00p,Milwaukee Bucks,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
73,2025-03-26,10:00p,Boston Celtics,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
74,2025-03-28,8:00p,Minnesota Timberwolves,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
75,2025-03-30,9:00p,Houston Rockets,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
76,2025-04-01,8:00p,Milwaukee Bucks,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
77,2025-04-04,7:30p,Boston Celtics,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
78,2025-04-06,7:00p,New York Knicks,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
79,2025-04-08,10:00p,Golden State Warriors,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
80,2025-04-09,10:00p,Oklahoma City Thunder,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
81,2025-04-11,10:00p,San Antonio Spurs,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
82,2025-04-13,3:30p,Sacramento Kings,,,,,,,,,,Phoenix Suns,PHO,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Phoenix Suns,PHO,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Phoenix Suns,PHO,2025-03-11,,True,1.0
